Date,Open,High,Low,Close,Volume
2019-01-30,12.8533,12.8533,12.8533,12.8533,0
2019-01-31,12.8533,12.8533,12.8533,12.8533,0
2019-02-01,12.8533,12.8533,12.8533,12.8533,0
2019-02-11,12.8533,12.8533,12.8533,12.8533,0
2019-02-12,12.8533,12.8533,12.8533,12.8533,0
2019-02-13,12.8533,12.8533,12.8533,12.8533,0
2019-02-14,12.8533,12.8533,12.8533,12.8533,0
2019-02-15,12.8533,12.8533,12.8533,12.8533,0
2019-02-18,12.8533,12.8533,12.8533,12.8533,0
2019-02-19,12.8533,12.8533,12.8533,12.8533,0
2019-02-20,12.8533,12.8533,12.8533,12.8533,0
2019-02-21,12.8533,12.8533,12.8533,12.8533,0
2019-02-22,12.8533,12.8533,12.8533,12.8533,0
2019-02-25,12.8533,12.8533,12.8533,12.8533,0
2019-02-26,12.8533,12.8533,12.8533,12.8533,0
2019-02-27,12.8533,12.8533,12.8533,12.8533,0
2019-02-28,12.8533,12.8533,12.8533,12.8533,0
2019-03-01,12.8533,12.8533,12.8533,12.8533,0
2019-03-04,12.8533,12.8533,12.8533,12.8533,0
2019-03-05,12.8533,12.8533,12.8533,12.8533,0
2019-03-06,12.8533,12.8533,12.8533,12.8533,0
2019-03-07,12.8533,12.8533,12.8533,12.8533,0
2019-03-08,12.8533,12.8533,12.8533,12.8533,0
2019-03-11,12.8533,12.8533,12.8533,12.8533,0
2019-03-12,12.8533,12.8533,12.8533,12.8533,0
2019-03-13,12.8533,12.8533,12.8533,12.8533,0
2019-03-14,12.8533,12.8533,12.8533,12.8533,0
2019-03-15,12.8533,12.8533,12.8533,12.8533,0
2019-03-18,12.8533,12.8533,12.8533,12.8533,0
2019-03-19,12.8533,12.8533,12.8533,12.8533,0
2019-03-20,12.8533,12.8533,12.8533,12.8533,0
2019-03-21,12.8533,12.8533,12.8533,12.8533,0
2019-03-22,12.8533,12.8533,12.8533,12.8533,0
2019-03-25,12.8533,12.8533,12.8533,12.8533,0
2019-03-26,12.8533,12.8533,12.8533,12.8533,0
2019-03-27,12.8533,12.8533,12.8533,12.8533,0
2019-03-28,12.8533,12.8533,12.8533,12.8533,0
2019-03-29,12.8533,12.8533,12.8533,12.8533,0
2019-04-01,12.8533,12.8533,12.8533,12.8533,0
2019-04-02,12.8533,12.8533,12.8533,12.8533,0
2019-04-03,12.8533,12.8533,12.8533,12.8533,0
2019-04-04,12.8533,12.8533,12.8533,12.8533,0
2019-04-05,12.8533,12.8533,12.8533,12.8533,0
2019-04-08,12.8533,12.8533,12.8533,12.8533,0
2019-04-09,12.8533,12.8533,12.8533,12.8533,0
2019-04-10,12.8533,12.8533,12.8533,12.8533,0
2019-04-11,12.8533,12.8533,12.8533,12.8533,0
2019-04-12,12.8533,12.8533,12.8533,12.8533,0
2019-04-16,12.8533,12.8533,12.8533,12.8533,0
2019-04-17,12.8533,12.8533,12.8533,12.8533,0
2019-04-18,12.8533,12.8533,12.8533,12.8533,0
2019-04-19,12.8533,12.8533,12.8533,12.8533,0
2019-04-22,12.8533,12.8533,12.8533,12.8533,0
2019-04-23,12.8533,12.8533,12.8533,12.8533,0
2019-04-24,12.8533,12.8533,12.8533,12.8533,0
2019-04-25,12.8533,12.8533,12.8533,12.8533,0
2019-04-26,12.8533,12.8533,12.8533,12.8533,0
2019-05-02,12.8533,12.8533,12.8533,12.8533,0
2019-05-03,12.8533,12.8533,12.8533,12.8533,0
2019-05-06,12.8533,12.8533,12.8533,12.8533,0
2019-05-07,12.8533,12.8533,12.8533,12.8533,0
2019-05-08,12.8533,12.8533,12.8533,12.8533,0
2019-05-09,12.8533,12.8533,12.8533,12.8533,0
2019-05-10,12.8533,12.8949,12.8533,12.8949,0
2019-05-13,12.8949,12.8949,12.8949,12.8949,0
2019-05-14,12.8949,12.8949,12.8949,12.8949,0
2019-05-15,12.8949,12.8949,12.8949,12.8949,0
2019-05-16,12.8949,12.8949,12.8949,12.8949,0
2019-05-17,12.8949,12.8949,12.8949,12.8949,0
2019-05-20,12.8949,12.8949,12.8949,12.8949,0
2019-05-21,12.8949,12.8949,12.8949,12.8949,0
2019-05-22,12.8949,12.8949,12.8949,12.8949,0
2019-05-23,12.8949,12.8949,12.8949,12.8949,0
2019-05-24,12.8949,12.8949,12.8949,12.8949,0
2019-05-27,12.8949,12.8949,12.8949,12.8949,0
2019-05-28,12.8949,12.8949,12.8949,12.8949,0
2019-05-29,12.8949,12.8949,12.8949,12.8949,0
2019-05-30,12.8949,12.8949,12.8949,12.8949,0
2019-05-31,12.8949,12.8949,12.8949,12.8949,0
2019-06-03,12.8949,12.8949,12.8949,12.8949,0
2019-06-04,12.8949,12.8949,12.8949,12.8949,0
2019-06-05,12.8949,12.8949,12.8949,12.8949,0
2019-06-06,12.8949,12.8949,12.8949,12.8949,0
2019-06-07,12.8949,12.8949,12.8949,12.8949,0
2019-06-10,12.8949,12.8949,12.8949,12.8949,0
2019-06-11,12.8949,12.8949,12.8949,12.8949,0
2019-06-12,12.8949,12.8949,12.8949,12.8949,0
2019-06-13,12.8949,12.8949,12.8949,12.8949,0
2019-06-14,12.8949,12.8949,12.8949,12.8949,0
2019-06-17,12.8949,12.8949,12.8949,12.8949,0
2019-06-18,12.8949,12.8949,12.8949,12.8949,0
2019-06-19,12.8949,12.8949,12.8949,12.8949,0
2019-06-20,12.8949,12.8949,12.8949,12.8949,0
2019-06-21,12.8949,12.8949,12.8949,12.8949,0
2019-06-24,12.8949,12.8949,12.8949,12.8949,0
2019-06-25,12.8949,12.8949,12.8949,12.8949,0
2019-06-26,12.8949,12.8949,12.8949,12.8949,0
2019-06-27,12.8949,12.8949,12.8949,12.8949,0
2019-06-28,12.8949,12.8949,12.8949,12.8949,0
2019-07-01,12.8949,12.8949,12.8949,12.8949,0
2019-07-02,12.8949,12.8949,12.8949,12.8949,0
2019-07-03,12.8949,12.8949,12.8949,12.8949,0
2019-07-04,12.8949,12.8949,12.8949,12.8949,0
2019-07-05,12.8949,12.8949,12.8949,12.8949,0
2019-07-08,12.8949,12.8949,12.8949,12.8949,0
2019-07-09,12.8949,12.8949,12.8949,12.8949,0
2019-07-10,12.8949,12.8949,12.8949,12.8949,0
2019-07-11,12.8949,12.8949,12.8949,12.8949,0
2019-07-12,12.8949,12.8949,12.8949,12.8949,0
2019-07-15,12.8949,12.8949,12.8949,12.8949,0
2019-07-16,12.8949,12.8949,12.8949,12.8949,0
2019-07-17,12.8949,12.8949,12.8949,12.8949,0
2019-07-18,12.8949,12.8949,12.8949,12.8949,0
2019-07-19,12.8949,12.8949,12.8949,12.8949,0
2019-07-22,12.8949,12.8949,12.8949,12.8949,0
2019-07-23,12.8949,12.8949,12.8949,12.8949,0
2019-07-24,12.8949,12.8949,12.8949,12.8949,0
2019-07-25,12.8949,12.8949,12.8949,12.8949,0
2019-07-26,12.8949,12.8949,12.8949,12.8949,0
2019-07-29,12.8949,12.8949,12.8949,12.8949,0
2019-07-30,12.8949,12.8949,12.8949,12.8949,0
2019-07-31,12.8949,12.8949,12.8949,12.8949,0
2019-08-01,12.8949,12.8949,12.8949,12.8949,0
2019-08-02,12.8949,12.8949,12.8949,12.8949,0
2019-08-05,12.8949,12.8949,12.8949,12.8949,0
2019-08-06,12.8949,12.8949,12.8949,12.8949,0
2019-08-07,12.8949,12.8949,12.8949,12.8949,0
2019-08-08,12.8949,12.8949,12.8949,12.8949,0
2019-08-09,12.8949,12.8949,12.8949,12.8949,0
2019-08-12,12.8949,12.8949,12.8949,12.8949,0
