Date,Open,High,Low,Close,Volume
2020-04-10,3.0,3.0,3.0,3.0,0
2020-04-13,3.0,3.0,3.0,3.0,0
2020-04-14,3.0,3.0,3.0,3.0,0
2020-04-15,3.0,3.0,3.0,3.0,0
2020-04-16,3.0,3.0,3.0,3.0,0
2020-04-17,3.0,3.0,3.0,3.0,0
2020-04-20,3.0,3.0,3.0,3.0,0
2020-04-21,3.0,3.0,3.0,3.0,0
2020-04-22,3.0,3.0,3.0,3.0,0
2020-04-23,3.0,3.0,3.0,3.0,0
2020-04-24,3.0,3.0,3.0,3.0,0
2020-04-27,3.0,3.0,3.0,3.0,0
2020-04-28,3.0,3.0,3.0,3.0,0
2020-04-29,3.0,3.0,3.0,3.0,0
2020-05-04,3.0,3.0,3.0,3.0,0
2020-05-05,3.0,3.0,3.0,3.0,0
2020-05-06,3.0,3.0,3.0,3.0,0
2020-05-07,3.0,3.0,3.0,3.0,0
2020-05-08,3.0,3.0,3.0,3.0,270000
2020-05-11,3.0,3.0,3.0,3.0,0
2020-05-12,3.0,3.0,3.0,3.0,0
2020-05-13,3.0,3.0,3.0,3.0,0
2020-05-14,3.0,3.0,3.0,3.0,0
2020-05-15,3.0,3.0,3.0,3.0,0
2020-05-18,3.0,3.0,3.0,3.0,0
2020-05-19,3.0,3.0,3.0,3.0,0
2020-05-20,3.0,3.0,3.0,3.0,0
2020-05-21,3.0,3.0,3.0,3.0,0
2020-05-22,3.0,3.0,3.0,3.0,0
2020-05-25,3.0,3.0,3.0,3.0,0
2020-05-26,3.0,3.0,3.0,3.0,0
2020-05-27,3.0,3.0,3.0,3.0,0
2020-05-28,3.0,3.0,3.0,3.0,0
2020-05-29,3.0,3.0,3.0,3.0,0
2020-06-01,3.0,3.0,3.0,3.0,0
2020-06-02,3.0,3.0,3.0,3.0,0
2020-06-03,3.0,3.0,3.0,3.0,0
2020-06-04,3.0,3.0,3.0,3.0,0
2020-06-05,3.0,3.0,3.0,3.0,0
2020-06-08,3.0,3.0,3.0,3.0,0
2020-06-09,3.0,3.0,3.0,3.0,0
2020-06-10,3.0,3.0,3.0,3.0,0
2020-06-11,3.0,3.0,3.0,3.0,0
2020-06-12,3.0,3.0,3.0,3.0,0
2020-06-15,3.0,3.0,3.0,3.0,0
2020-06-16,3.0,3.0,3.0,3.0,0
2020-06-17,3.0,3.0,3.0,3.0,0
2020-06-18,3.0,3.0,3.0,3.0,0
2020-06-19,3.0,3.0,3.0,3.0,0
2020-06-22,3.0,3.0,3.0,3.0,0
2020-06-23,3.0,3.0,3.0,3.0,0
2020-06-24,3.0,3.0,3.0,3.0,0
2020-06-25,3.0,3.0,3.0,3.0,0
2020-06-26,3.0,3.0,3.0,3.0,0
2020-06-29,3.0,3.0,3.0,3.0,0
2020-06-30,3.0,3.0,3.0,3.0,0
2020-07-01,3.0,3.0,3.0,3.0,0
2020-07-02,3.0,3.0,3.0,3.0,0
2020-07-03,3.0,3.0,3.0,3.0,0
2020-07-06,3.0,3.0,3.0,3.0,0
2020-07-07,3.0,3.0,3.0,3.0,0
