Ticker,Date,Open,High,Low,Close,Volume
TCB,2018-06-04,34.1333,35.0,34.1333,34.1333,2811840
TCB,2018-06-05,33.0333,35.3333,32.0,32.0,1357500
TCB,2018-06-06,31.6667,32.0,30.3333,30.6667,1605480
TCB,2018-06-07,31.5,32.8,31.0334,32.8,1376540
TCB,2018-06-08,33.6667,35.0667,33.1667,35.0667,2008500
TCB,2018-06-11,34.9334,36.3334,34.4,36.3333,1229830
TCB,2018-06-12,36.0,36.0,34.3,35.0,1139130
TCB,2018-06-13,35.0,36.0,34.8333,35.1333,772670
TCB,2018-06-14,35.5,35.5,34.5,35.0,617130
TCB,2018-06-15,35.1667,35.1667,34.5,35.0667,723460
TCB,2018-06-18,34.7,35.0,32.6667,33.3333,825810
TCB,2018-06-19,31.7,32.3333,31.0,31.6667,2092720
TCB,2018-06-20,31.6667,32.1667,31.0334,31.7333,554870
TCB,2018-06-21,31.8,31.8,31.1,31.7333,497790
TCB,2018-06-22,31.7,31.7,31.2,31.6667,328710
TCB,2018-06-25,32.0,32.3334,31.9,31.9667,918340
TCB,2018-06-26,31.4667,31.8334,31.4,31.6667,493790
TCB,2018-06-27,31.1667,31.6667,31.1667,31.2,394860
TCB,2018-06-28,31.0,31.1667,29.5,30.7333,1319230
TCB,2018-06-29,30.3333,30.6666,29.0,30.5667,1583700
TCB,2018-07-02,30.6,30.6,29.0,29.3,669570
TCB,2018-07-03,29.1667,29.4333,27.2667,27.2667,2112230
TCB,2018-07-04,26.8334,27.0,25.3667,27.0,1102650
TCB,2018-07-05,28.85,28.85,27.0,28.15,1583450
TCB,2018-07-06,28.0,29.0,27.0,28.8,1160990
TCB,2018-07-09,29.0,29.2,27.85,28.5,631240
TCB,2018-07-10,28.5,28.5,27.5,27.65,549100
TCB,2018-07-11,27.1,27.1,25.75,25.75,1134570
TCB,2018-07-12,25.1,26.0,25.1,26.0,686180
TCB,2018-07-13,26.4,26.5,26.0,26.2,406500
TCB,2018-07-16,26.0,26.2,25.75,26.2,430160
TCB,2018-07-17,26.2,27.5,25.7,27.1,1174520
TCB,2018-07-18,27.5,28.5,27.3,27.95,1139340
TCB,2018-07-19,28.0,28.0,27.5,27.9,680430
TCB,2018-07-20,27.5,27.9,27.2,27.9,1473990
TCB,2018-07-23,27.3,27.85,26.6,26.6,878370
TCB,2018-07-24,27.0,27.5,26.3,26.4,1019120
TCB,2018-07-25,26.8,26.85,24.9,26.75,3348190
TCB,2018-07-26,26.0,26.25,25.5,25.8,645430
TCB,2018-07-27,25.8,26.2,25.6,25.95,1427670
TCB,2018-07-30,25.95,26.2,25.9,26.1,1438740
TCB,2018-07-31,26.15,27.9,26.0,27.8,4690660
TCB,2018-08-01,27.9,28.65,27.15,27.55,2060620
TCB,2018-08-02,27.3,28.5,27.0,28.5,3507500
TCB,2018-08-03,28.6,28.9,28.0,28.35,2418140
TCB,2018-08-06,28.0,28.3,27.8,28.0,1478320
TCB,2018-08-07,27.75,28.2,27.4,27.95,1670400
TCB,2018-08-08,28.15,28.15,27.4,27.75,1406450
TCB,2018-08-09,27.9,28.3,27.4,27.4,2342630
TCB,2018-08-10,27.4,27.7,26.4,27.2,2362660
TCB,2018-08-13,27.0,27.65,26.8,27.45,1369550
TCB,2018-08-14,27.5,27.5,27.0,27.2,850440
TCB,2018-08-15,27.0,27.2,26.5,26.5,1030610
TCB,2018-08-16,26.5,26.9,25.95,26.5,1576340
TCB,2018-08-17,26.5,26.9,26.5,26.5,691890
TCB,2018-08-20,26.7,26.7,25.9,26.5,847610
TCB,2018-08-21,26.5,26.65,26.25,26.5,904270
TCB,2018-08-22,26.7,27.4,26.55,26.65,1386850
TCB,2018-08-23,27.0,27.15,26.65,26.75,1031560
TCB,2018-08-24,26.75,26.95,26.5,26.6,817010
TCB,2018-08-27,26.6,26.85,26.5,26.5,1480540
TCB,2018-08-28,26.6,26.8,26.2,26.25,1630740
TCB,2018-08-29,26.25,26.35,26.1,26.15,778240
TCB,2018-08-30,26.15,26.3,26.05,26.3,887840
TCB,2018-08-31,26.3,26.85,26.3,26.3,1723040
TCB,2018-09-04,26.3,26.6,26.05,26.1,991610
TCB,2018-09-05,26.1,26.25,25.75,25.8,1052150
TCB,2018-09-06,25.8,25.9,24.8,24.8,2694080
TCB,2018-09-07,25.0,25.3,24.9,25.25,2154200
TCB,2018-09-10,25.4,25.5,25.0,25.5,1297720
TCB,2018-09-11,25.45,25.5,25.3,25.4,780150
TCB,2018-09-12,25.5,25.55,25.0,25.0,1460210
TCB,2018-09-13,25.0,25.4,25.0,25.2,1105010
TCB,2018-09-14,25.2,25.4,25.15,25.25,1343360
TCB,2018-09-17,25.25,27.0,25.15,26.05,2714630
TCB,2018-09-18,26.05,26.15,25.55,26.15,1059520
TCB,2018-09-19,26.2,27.05,26.2,26.6,2934180
TCB,2018-09-20,26.6,28.0,26.6,28.0,5779740
TCB,2018-09-21,28.0,28.45,27.8,28.3,4008110
TCB,2018-09-24,28.3,28.45,27.95,28.1,2213810
TCB,2018-09-25,28.0,28.2,27.8,28.0,2261840
TCB,2018-09-26,28.0,29.35,27.8,28.9,4516320
TCB,2018-09-27,29.2,29.65,29.15,29.4,3663710
TCB,2018-09-28,29.5,29.65,29.0,29.15,3943650
TCB,2018-10-01,29.15,29.25,28.6,28.65,2816100
TCB,2018-10-02,28.6,29.4,28.6,29.1,3139750
TCB,2018-10-03,29.4,29.5,29.15,29.35,1405830
TCB,2018-10-04,29.5,30.2,29.35,30.2,3273230
TCB,2018-10-05,30.1,30.25,29.75,29.8,3156560
TCB,2018-10-08,29.1,29.75,29.1,29.35,2101380
TCB,2018-10-09,29.4,29.75,29.15,29.75,2656380
TCB,2018-10-10,29.8,30.1,29.65,29.7,1689250
TCB,2018-10-11,28.2,29.1,27.7,27.85,4366960
TCB,2018-10-12,27.85,28.8,27.3,28.7,2298230
TCB,2018-10-15,28.7,28.75,28.0,28.2,2085500
TCB,2018-10-16,28.15,28.9,28.15,28.7,1363410
TCB,2018-10-17,29.3,29.3,28.95,29.1,1972280
TCB,2018-10-18,28.8,29.1,28.7,28.9,1487880
TCB,2018-10-19,28.4,29.0,28.1,29.0,1454000
TCB,2018-10-22,29.0,29.2,28.8,28.8,2026290
TCB,2018-10-23,28.8,28.8,26.8,27.8,2307530
TCB,2018-10-24,27.9,28.0,26.5,26.5,1535430
TCB,2018-10-25,25.2,26.3,25.1,26.1,2454470
TCB,2018-10-26,26.9,26.9,25.5,25.85,1747390
TCB,2018-10-29,25.8,26.0,25.5,25.7,1473740
TCB,2018-10-30,25.7,26.1,25.6,25.8,1327540
TCB,2018-10-31,26.1,26.9,26.1,26.9,1230140
TCB,2018-11-01,26.95,26.95,26.1,26.1,802870
TCB,2018-11-02,26.6,26.95,26.2,26.6,1048790
TCB,2018-11-05,26.7,26.95,26.5,26.85,920120
TCB,2018-11-06,27.4,27.4,26.75,26.95,1174180
TCB,2018-11-07,26.7,27.2,26.7,27.0,1180500
TCB,2018-11-08,27.5,27.5,26.95,27.0,710570
TCB,2018-11-09,26.85,26.95,26.35,26.35,1090990
TCB,2018-11-12,26.3,26.5,25.85,26.3,784460
TCB,2018-11-13,25.7,26.0,25.7,25.75,947810
TCB,2018-11-14,25.6,26.0,25.15,25.25,1692450
TCB,2018-11-15,25.25,25.55,25.05,25.25,971850
TCB,2018-11-16,25.5,26.4,25.45,25.7,645780
TCB,2018-11-19,25.7,26.7,25.7,26.5,1754860
TCB,2018-11-20,26.3,26.55,26.1,26.4,1534530
TCB,2018-11-21,26.0,26.8,25.9,26.5,1028070
TCB,2018-11-22,26.9,26.9,24.65,26.5,901490
TCB,2018-11-23,26.5,26.6,26.1,26.1,643390
TCB,2018-11-26,26.0,26.45,25.95,25.95,1195560
TCB,2018-11-27,26.3,26.5,25.95,26.0,1040020
TCB,2018-11-28,26.0,26.15,25.9,26.15,668970
TCB,2018-11-29,26.45,26.6,26.05,26.05,1304530
TCB,2018-11-30,26.25,26.3,26.0,26.05,635260
TCB,2018-12-03,26.5,27.2,26.3,27.2,3059840
TCB,2018-12-04,27.2,27.95,27.2,27.8,2885160
TCB,2018-12-05,27.5,28.3,27.3,28.0,3540000
TCB,2018-12-06,28.0,28.45,27.9,28.15,2977170
TCB,2018-12-07,28.2,28.5,27.8,28.0,2249340
TCB,2018-12-10,27.9,28.35,27.7,28.25,3389080
TCB,2018-12-11,28.35,28.5,28.1,28.3,2451470
TCB,2018-12-12,28.5,28.9,28.3,28.9,3106230
TCB,2018-12-13,29.0,29.15,28.7,28.7,2502500
TCB,2018-12-14,28.5,28.8,28.5,28.65,2395670
TCB,2018-12-17,28.3,28.5,27.4,27.4,3335920
TCB,2018-12-18,27.0,27.5,26.7,27.5,3565390
TCB,2018-12-19,27.4,27.5,26.95,27.5,1152330
TCB,2018-12-20,27.2,27.7,27.1,27.25,1096130
TCB,2018-12-21,27.0,27.3,26.7,27.3,1436860
TCB,2018-12-24,27.3,27.4,26.9,26.9,1250440
TCB,2018-12-25,26.2,26.55,25.8,26.4,2408040
TCB,2018-12-26,26.3,26.6,25.95,26.0,1965260
TCB,2018-12-27,26.5,26.65,26.05,26.05,2093990
TCB,2018-12-28,26.3,26.3,25.85,25.85,1849440
TCB,2019-01-02,26.0,26.05,25.6,25.6,1329030
TCB,2019-01-03,25.7,25.75,25.0,25.0,1811430
TCB,2019-01-04,25.0,25.0,23.25,24.95,2970830
TCB,2019-01-07,25.15,25.5,25.1,25.1,1436930
TCB,2019-01-08,25.15,25.2,25.05,25.1,843170
TCB,2019-01-09,25.2,26.0,25.1,25.8,3192180
TCB,2019-01-10,25.8,25.95,25.75,25.8,1644380
TCB,2019-01-11,25.85,26.3,25.85,26.0,1623150
TCB,2019-01-14,25.9,26.05,25.75,25.85,2002420
