Date,Open,High,Low,Close,Volume
2012-02-13,1.0729,1.0729,1.0729,1.0729,0
2012-02-14,1.0729,1.0729,1.0729,1.0729,0
2012-02-15,1.0729,1.0729,1.0729,1.0729,0
2012-02-16,1.0729,1.0729,1.0729,1.0729,0
2012-02-17,1.0729,1.0729,1.0729,1.0729,0
2012-02-20,1.0729,1.0729,1.0729,1.0729,0
2012-02-21,1.0729,1.0729,1.0729,1.0729,500
2012-02-22,1.0729,1.0729,1.0729,1.0729,0
2012-02-23,1.0729,1.0729,1.0729,1.0729,0
2012-02-24,1.0729,1.0729,1.0729,1.0729,0
2012-02-27,1.0729,1.0729,1.0729,1.0729,0
2012-02-28,1.0729,1.0729,1.0729,1.0729,0
2012-02-29,1.0729,1.0729,1.0729,1.0729,0
2012-03-01,1.0729,1.0729,1.0729,1.0729,0
2012-03-02,1.0729,1.0729,1.0729,1.0729,0
2012-03-05,1.0729,1.0729,1.0729,1.0729,0
2012-03-06,1.0729,1.0729,1.0729,1.0729,0
2012-03-07,1.0729,1.0729,1.0729,1.0729,0
2012-03-08,1.0729,1.0729,1.0729,1.0729,0
2012-03-09,1.0729,1.0729,1.0729,1.0729,0
2012-03-12,1.0729,1.0729,1.0729,1.0729,0
2012-03-13,1.0729,1.0729,1.0729,1.0729,0
2012-03-14,1.0729,1.0729,1.0729,1.0729,0
2012-03-15,1.0729,1.0729,1.0729,1.0729,0
2012-03-16,1.0729,1.0729,1.0729,1.0729,0
2012-03-19,1.0729,1.0729,1.0729,1.0729,0
2012-03-20,1.0729,1.0729,1.0729,1.0729,0
2012-03-21,1.0729,1.0729,1.0729,1.0729,0
2012-03-22,1.0729,1.0729,1.0729,1.0729,0
2012-03-23,1.0729,1.0729,1.0729,1.0729,0
2012-03-26,1.0729,1.0729,1.0729,1.0729,0
2012-03-27,1.0729,1.0729,1.0729,1.0729,0
2012-03-28,1.0729,1.0729,1.0729,1.0729,0
2012-03-29,1.0729,1.0729,1.0729,1.0729,0
2012-03-30,1.0729,1.0729,1.0729,1.0729,0
2012-04-03,1.0729,1.0729,1.0729,1.0729,0
2012-04-04,1.0729,1.0729,1.0729,1.0729,0
2012-04-05,1.0729,1.0729,1.0729,1.0729,0
2012-04-06,1.0729,1.0729,1.0729,1.0729,0
2012-04-09,1.0729,1.0729,1.0729,1.0729,0
2012-04-10,1.0729,1.0729,1.0729,1.0729,0
2012-04-11,1.0729,1.0729,1.0729,1.0729,0
2012-04-12,1.0729,1.0729,1.0729,1.0729,0
2012-04-13,1.0729,1.0729,1.0729,1.0729,0
2012-04-16,1.0729,1.0729,1.0729,1.0729,0
2012-04-17,1.0729,1.0729,1.0729,1.0729,0
2012-04-18,1.0729,1.0729,1.0729,1.0729,0
2012-04-19,1.0729,1.0729,1.0729,1.0729,0
2012-04-20,1.0729,1.0729,1.0729,1.0729,0
2012-04-23,0.8128,0.8128,0.8128,0.8128,900
2012-04-24,0.8128,0.8128,0.8128,0.8128,0
2012-04-25,0.8128,0.8128,0.8128,0.8128,0
2012-04-26,0.8128,0.8128,0.8128,0.8128,0
2012-04-27,0.8128,0.8128,0.8128,0.8128,0
2012-05-02,0.7478,0.7478,0.7478,0.7478,100
2012-05-03,0.7478,0.7478,0.7478,0.7478,0
2012-05-04,0.7478,0.7478,0.7478,0.7478,0
2012-05-07,0.7478,0.7478,0.7478,0.7478,0
2012-05-08,0.7478,0.7478,0.7478,0.7478,0
2012-05-09,0.7478,0.7478,0.7478,0.7478,0
2012-05-10,0.7478,0.7478,0.7478,0.7478,0
2012-05-11,0.7478,0.7478,0.7478,0.7478,0
2012-05-14,0.7478,0.7478,0.7478,0.7478,0
2012-05-15,0.7478,0.7478,0.7478,0.7478,0
2012-05-16,0.7478,0.7478,0.7478,0.7478,0
2012-05-17,0.7478,0.7478,0.7478,0.7478,0
2012-05-18,0.7478,0.7478,0.7478,0.7478,0
2012-05-21,0.7478,0.7478,0.7478,0.7478,0
2012-05-22,0.7478,0.7478,0.7478,0.7478,0
2012-05-23,0.7478,0.7478,0.7478,0.7478,0
2012-05-24,0.7478,0.7478,0.7478,0.7478,0
2012-05-25,0.7478,0.7478,0.7478,0.7478,0
2012-05-28,0.7478,0.7478,0.7478,0.7478,0
2012-05-29,0.7478,0.7478,0.7478,0.7478,0
2012-05-30,0.7478,0.7478,0.7478,0.7478,0
2012-05-31,0.7478,0.7478,0.7478,0.7478,0
2012-06-01,0.7478,0.7478,0.7478,0.7478,0
2012-06-04,0.7478,0.7478,0.7478,0.7478,0
2012-06-05,0.7478,0.7478,0.7478,0.7478,0
2012-06-06,0.7478,0.7478,0.7478,0.7478,0
2012-06-07,0.7478,0.7478,0.7478,0.7478,0
2012-06-08,0.7478,0.7478,0.7478,0.7478,0
2012-06-11,0.7478,0.7478,0.7478,0.7478,0
2012-06-12,0.7478,0.7478,0.7478,0.7478,100
2012-06-13,0.7478,0.7478,0.7478,0.7478,0
2012-06-14,0.7478,0.7478,0.7478,0.7478,0
2012-06-15,0.7478,0.7478,0.7478,0.7478,0
2012-06-18,0.7478,0.7478,0.7478,0.7478,0
2012-06-19,0.7478,0.7478,0.7478,0.7478,0
2012-06-20,0.7478,0.7478,0.7478,0.7478,0
2012-06-21,0.7478,0.7478,0.7478,0.7478,0
2012-06-22,0.7478,0.7478,0.7478,0.7478,0
2012-06-25,0.7478,0.7478,0.7478,0.7478,0
2012-06-26,0.7478,0.7478,0.7478,0.7478,0
2012-06-27,0.7478,0.7478,0.7478,0.7478,0
2012-06-28,0.7478,0.7478,0.7478,0.7478,0
2012-06-29,0.7478,0.7478,0.7478,0.7478,0
2012-07-02,0.7478,0.7478,0.7478,0.7478,0
2012-07-03,0.7478,0.7478,0.7478,0.7478,0
2012-07-04,0.7478,0.7478,0.7478,0.7478,0
2012-07-05,0.7478,0.7478,0.7478,0.7478,0
2012-07-06,0.7478,0.7478,0.7478,0.7478,0
2012-07-09,0.7478,0.7478,0.7478,0.7478,0
2012-07-10,0.7478,0.7478,0.7478,0.7478,0
2012-07-11,0.7478,0.7478,0.7478,0.7478,0
2012-07-12,0.7478,0.7478,0.7478,0.7478,0
2012-07-13,0.7478,0.7478,0.7478,0.7478,0
2012-07-16,0.7478,0.7478,0.7478,0.7478,0
2012-07-17,0.7478,0.7478,0.7478,0.7478,0
2012-07-18,0.7478,0.7478,0.7478,0.7478,0
2012-07-19,0.7478,0.7478,0.7478,0.7478,200
2012-07-20,0.7478,0.7478,0.7478,0.7478,0
2012-07-23,0.7478,0.7478,0.7478,0.7478,0
2012-07-24,0.7478,0.7478,0.7478,0.7478,0
2012-07-25,0.7478,0.7478,0.7478,0.7478,0
2012-07-26,0.7478,0.7478,0.7478,0.7478,0
2012-07-27,0.7478,0.7478,0.7478,0.7478,0
2012-07-30,0.7478,0.7478,0.7478,0.7478,0
2012-07-31,0.7478,0.7478,0.7478,0.7478,0
2012-08-01,0.7478,0.7478,0.7478,0.7478,0
2012-08-02,0.7478,0.7478,0.7478,0.7478,0
2012-08-03,0.7478,0.7478,0.7478,0.7478,0
2012-08-06,0.7478,0.7478,0.7478,0.7478,0
2012-08-07,0.7478,0.7478,0.7478,0.7478,0
2012-08-08,0.7478,0.7478,0.7478,0.7478,0
2012-08-09,0.7478,0.7478,0.7478,0.7478,0
2012-08-10,0.7478,0.7478,0.7478,0.7478,0
2012-08-13,0.7478,0.7478,0.7478,0.7478,0
2012-08-14,0.7478,0.7478,0.7478,0.7478,0
2012-08-15,0.7478,0.7478,0.7478,0.7478,0
2012-08-16,0.7478,0.7478,0.7478,0.7478,0
2012-08-17,0.7478,0.7478,0.7478,0.7478,0
2012-08-20,0.7478,0.7478,0.7478,0.7478,0
2012-08-21,0.7478,0.7478,0.7478,0.7478,0
2012-08-22,0.7478,0.7478,0.7478,0.7478,0
2012-08-23,0.7478,0.7478,0.7478,0.7478,0
2012-08-24,0.7478,0.7478,0.7478,0.7478,0
2012-08-27,0.8128,0.8128,0.8128,0.8128,200
2012-08-28,0.8128,0.8128,0.8128,0.8128,0
2012-08-29,0.8128,0.8128,0.8128,0.8128,0
2012-08-30,0.8128,0.8128,0.8128,0.8128,0
2012-08-31,0.8128,0.8128,0.8128,0.8128,0
2012-09-04,0.8128,0.8128,0.8128,0.8128,0
2012-09-05,0.8128,0.8128,0.8128,0.8128,0
2012-09-06,0.8128,0.8128,0.8128,0.8128,0
2012-09-07,0.8128,0.8128,0.8128,0.8128,0
2012-09-10,0.8128,0.8128,0.8128,0.8128,0
2012-09-11,0.8128,0.8128,0.8128,0.8128,0
2012-09-12,0.8128,0.8128,0.8128,0.8128,0
2012-09-13,0.8128,0.8128,0.8128,0.8128,0
2012-09-14,0.8128,0.8128,0.8128,0.8128,0
2012-09-17,0.8128,0.8128,0.8128,0.8128,0
2012-09-18,0.8128,0.8128,0.8128,0.8128,0
2012-09-19,0.8128,0.8128,0.8128,0.8128,0
2012-09-20,0.8128,0.8128,0.8128,0.8128,0
2012-09-21,0.8128,0.8128,0.8128,0.8128,0
2012-09-24,0.8128,0.8128,0.8128,0.8128,0
2012-09-25,0.8128,0.8128,0.8128,0.8128,0
2012-09-26,0.8128,0.8128,0.8128,0.8128,0
2012-09-27,0.8128,0.8128,0.8128,0.8128,0
2012-09-28,0.8128,0.8128,0.8128,0.8128,0
2012-10-01,0.8128,0.8128,0.8128,0.8128,0
2012-10-02,0.8128,0.8128,0.8128,0.8128,0
2012-10-03,0.8128,0.8128,0.8128,0.8128,0
2012-10-04,0.8128,0.8128,0.8128,0.8128,0
2012-10-05,0.8128,0.8128,0.8128,0.8128,0
2012-10-08,0.8128,0.8128,0.8128,0.8128,0
2012-10-09,0.8128,0.8128,0.8128,0.8128,0
2012-10-10,0.8128,0.8128,0.8128,0.8128,0
2012-10-11,0.8128,0.8128,0.8128,0.8128,0
2012-10-12,0.8128,0.8128,0.8128,0.8128,0
2012-10-15,0.8128,0.8128,0.8128,0.8128,0
2012-10-16,0.8128,0.8128,0.8128,0.8128,0
2012-10-17,0.8128,0.8128,0.8128,0.8128,0
2012-10-18,0.8128,0.8128,0.8128,0.8128,0
2012-10-19,0.8128,0.8128,0.8128,0.8128,0
2012-10-22,0.8128,0.8128,0.8128,0.8128,0
2012-10-23,0.8128,0.8128,0.8128,0.8128,0
2012-10-24,0.8128,0.8128,0.8128,0.8128,0
2012-10-25,0.8128,0.8128,0.8128,0.8128,0
2012-10-26,0.8128,0.8128,0.8128,0.8128,0
2012-10-29,0.8128,0.8128,0.8128,0.8128,0
2012-10-30,0.8128,0.8128,0.8128,0.8128,0
2012-10-31,0.8128,0.8128,0.8128,0.8128,0
2012-11-01,0.8128,0.8128,0.8128,0.8128,0
2012-11-02,0.8128,0.8128,0.8128,0.8128,0
2012-11-05,0.8128,0.8128,0.8128,0.8128,0
2012-11-06,0.8128,0.8128,0.8128,0.8128,0
2012-11-07,0.8128,0.8128,0.8128,0.8128,0
2012-11-08,0.8128,0.8128,0.8128,0.8128,0
2012-11-09,0.8128,0.8128,0.8128,0.8128,0
2012-11-12,0.8128,0.8128,0.8128,0.8128,0
2012-11-13,0.8128,0.8128,0.8128,0.8128,0
2012-11-14,0.8128,0.8128,0.8128,0.8128,0
2012-11-15,0.8128,0.8128,0.8128,0.8128,0
2012-11-16,0.8128,0.8128,0.8128,0.8128,0
2012-11-19,0.8128,0.8128,0.8128,0.8128,0
2012-11-20,0.8128,0.8128,0.8128,0.8128,0
2012-11-21,0.8128,0.8128,0.8128,0.8128,0
2012-11-22,0.8128,0.8128,0.8128,0.8128,0
2012-11-23,0.8128,0.8128,0.8128,0.8128,0
2012-11-26,0.8128,0.8128,0.8128,0.8128,0
2012-11-27,0.8128,0.8128,0.8128,0.8128,0
2012-11-28,0.8128,0.8128,0.8128,0.8128,0
2012-11-29,0.8128,0.8128,0.8128,0.8128,0
2012-11-30,0.8128,0.8128,0.8128,0.8128,0
2012-12-03,0.8128,0.8128,0.8128,0.8128,0
2012-12-04,0.8128,0.8128,0.8128,0.8128,0
2012-12-05,0.8128,0.8128,0.8128,0.8128,0
2012-12-06,0.8128,0.8128,0.8128,0.8128,0
2012-12-07,0.8128,0.8128,0.8128,0.8128,200
2012-12-10,0.8128,0.8128,0.8128,0.8128,0
2012-12-11,0.8128,0.8128,0.8128,0.8128,0
2012-12-12,0.8128,0.8128,0.8128,0.8128,0
2012-12-13,0.8128,0.8128,0.8128,0.8128,0
2012-12-14,0.8128,0.8128,0.8128,0.8128,0
2012-12-17,0.8128,0.8128,0.8128,0.8128,0
2012-12-18,0.8128,0.8128,0.8128,0.8128,0
2012-12-19,0.8128,0.8128,0.8128,0.8128,0
2012-12-20,0.8128,0.8128,0.8128,0.8128,0
2012-12-21,0.8128,0.8128,0.8128,0.8128,0
2012-12-24,0.8128,0.8128,0.8128,0.8128,0
2012-12-25,0.8128,0.8128,0.8128,0.8128,0
2012-12-26,0.8128,0.8128,0.8128,0.8128,0
2012-12-27,0.8128,0.8128,0.8128,0.8128,0
2012-12-28,0.8128,0.8128,0.8128,0.8128,0
2013-01-02,0.8128,0.8128,0.8128,0.8128,0
2013-01-03,0.8778,0.8778,0.8778,0.8778,200
2013-01-04,0.9428,0.9429,0.9428,0.9429,100
2013-01-07,0.9429,0.9429,0.9429,0.9429,0
2013-01-08,0.9429,0.9429,0.9429,0.9429,0
2013-01-09,0.9429,0.9429,0.9429,0.9429,0
2013-01-10,0.9429,0.9429,0.9429,0.9429,0
2013-01-11,0.9429,0.9429,0.9429,0.9429,0
2013-01-14,0.9429,0.9429,0.9429,0.9429,0
2013-01-15,0.9429,0.9429,0.9429,0.9429,0
2013-01-16,0.9429,0.9429,0.9429,0.9429,0
2013-01-17,0.9429,0.9429,0.9429,0.9429,0
2013-01-18,0.9429,0.9429,0.9429,0.9429,0
2013-01-21,0.9429,0.9429,0.9429,0.9429,0
2013-01-22,0.9429,0.9429,0.9429,0.9429,0
2013-01-23,0.9429,0.9429,0.9429,0.9429,0
2013-01-24,0.9429,0.9429,0.9429,0.9429,0
2013-01-25,0.9429,0.9429,0.9429,0.9429,0
2013-01-28,0.9429,0.9429,0.9429,0.9429,0
2013-01-29,0.9429,0.9429,0.9429,0.9429,0
2013-01-30,0.9429,0.9429,0.9429,0.9429,0
2013-01-31,0.9429,0.9429,0.9429,0.9429,0
2013-02-01,0.9429,0.9429,0.9429,0.9429,0
2013-02-04,0.9429,0.9429,0.9429,0.9429,0
2013-02-05,0.9429,0.9429,0.9429,0.9429,0
2013-02-06,0.9429,0.9429,0.9429,0.9429,0
2013-02-07,0.9429,0.9429,0.9429,0.9429,0
2013-02-08,0.9429,0.9429,0.9429,0.9429,0
2013-02-18,0.9429,0.9429,0.9429,0.9429,0
2013-02-19,0.9429,0.9429,0.9429,0.9429,0
2013-02-20,0.9429,0.9429,0.9429,0.9429,0
2013-02-21,0.9429,0.9429,0.9429,0.9429,0
2013-02-22,0.9429,0.9429,0.9429,0.9429,0
2013-02-25,0.9429,0.9429,0.9429,0.9429,0
2013-02-26,0.9429,0.9429,0.9429,0.9429,0
2013-02-27,0.9429,0.9429,0.9429,0.9429,0
2013-02-28,0.9429,0.9429,0.9429,0.9429,0
2013-03-01,0.9429,0.9429,0.9429,0.9429,0
2013-03-04,0.9429,0.9429,0.9429,0.9429,0
